time,hy_grad,avg_flux,Sensor(-0.55m),Sensor(-0.45m),Sensor(-0.35m),Sensor(-0.25m),Sensor(-0.15m),Sensor(-0.05m)
4/1/2017 0:00,0.071088435,-0.063456649,-0.0686975,-0.06818756,-0.06742175,-0.06628142,-0.0635141,-0.04106231
4/1/2017 1:00,0.072891156,-0.064973424,-0.07033905,-0.06981732,-0.06903341,-0.06786602,-0.06503295,-0.04204441
4/1/2017 2:00,0.069336735,-0.06176951,-0.06687067,-0.06637462,-0.06562924,-0.0645193,-0.0618261,-0.03997118
4/1/2017 3:00,0.061343537,-0.054644514,-0.05915796,-0.05871873,-0.05805889,-0.05707657,-0.05469387,-0.03535999
4/1/2017 4:00,0.062261905,-0.055379943,-0.05995395,-0.05950899,-0.0588404,-0.05784498,-0.05543015,-0.03583595
4/1/2017 5:00,0.055340136,-0.049218541,-0.05328468,-0.05288873,-0.05229398,-0.05140873,-0.04926194,-0.03184781
4/1/2017 6:00,0.061785714,-0.054798111,-0.05932434,-0.0588841,-0.05822244,-0.05723732,-0.05484735,-0.03545892
4/1/2017 7:00,0.049438776,-0.043943109,-0.04757462,-0.04722066,-0.04668908,-0.04589804,-0.04398027,-0.02843269
4/1/2017 8:00,0.052823129,-0.04684167,-0.05071275,-0.05033567,-0.04976914,-0.04892594,-0.04688099,-0.03030771
4/1/2017 9:00,0.047465986,-0.042126021,-0.04560941,-0.04526953,-0.04475914,-0.0439997,-0.04215862,-0.02725382
4/1/2017 10:00,0.051581633,-0.045727066,-0.04950946,-0.04914024,-0.04858573,-0.04776067,-0.04576057,-0.02958168
4/1/2017 11:00,0.052380952,-0.046424463,-0.0502666,-0.04989099,-0.04932708,-0.0484883,-0.04645562,-0.03003017
4/1/2017 12:00,0.049880952,-0.044261616,-0.047927,-0.04756784,-0.04702903,-0.04622809,-0.04428841,-0.02862861
4/1/2017 13:00,0.040663265,-0.036223987,-0.03922583,-0.03893089,-0.03848886,-0.03783225,-0.03624326,-0.02342748
4/1/2017 14:00,0.04707483,-0.041897497,-0.04537085,-0.04502913,-0.04451724,-0.04375713,-0.0419179,-0.02709508
4/1/2017 15:00,0.040833333,-0.036473073,-0.03949762,-0.03919931,-0.03875297,-0.03809076,-0.03649006,-0.02358704
4/1/2017 16:00,0.036853741,-0.033033399,-0.03577251,-0.03550188,-0.03509742,-0.03449784,-0.03304951,-0.02136392
4/1/2017 17:00,0.033996599,-0.030572329,-0.03310687,-0.03285632,-0.03248215,-0.03192766,-0.03058808,-0.0197732
4/1/2017 18:00,0.037908163,-0.034041754,-0.03686214,-0.03658377,-0.03616802,-0.03555177,-0.03406162,-0.0220193
4/1/2017 19:00,0.031241497,-0.028211166,-0.03054824,-0.03031746,-0.02997301,-0.02946251,-0.02822804,-0.01824833
4/1/2017 20:00,0.034370748,-0.031004767,-0.03357101,-0.03331822,-0.03294073,-0.03238098,-0.03102632,-0.02005831
4/1/2017 21:00,0.019642857,-0.017997846,-0.01948847,-0.01934109,-0.01912137,-0.0187959,-0.01800934,-0.01164275
4/1/2017 22:00,0.03255102,-0.02942992,-0.03186306,-0.03162422,-0.0312673,-0.03073761,-0.02945394,-0.0190427
4/1/2017 23:00,0.023894558,-0.021775244,-0.02357543,-0.02339871,-0.02313469,-0.02274283,-0.02179318,-0.0140898
4/2/2017 0:00,0.016207483,-0.014990259,-0.01623018,-0.01610815,-0.01592603,-0.01565589,-0.01500184,-0.009698832
4/2/2017 1:00,0.028095238,-0.025499764,-0.0276058,-0.02739993,-0.0270919,-0.02663415,-0.02552326,-0.01650183
4/2/2017 2:00,0.030306122,-0.027467777,-0.02973519,-0.02951409,-0.02918296,-0.0286905,-0.02749446,-0.01777649
4/2/2017 3:00,0.030646259,-0.027767827,-0.0300592,-0.02983614,-0.02950183,-0.02900437,-0.0277958,-0.0179715
4/2/2017 4:00,0.026904762,-0.024437199,-0.02645346,-0.02625731,-0.02596322,-0.02552552,-0.0244622,-0.01581621
4/2/2017 5:00,0.021666667,-0.019801527,-0.0214356,-0.02127649,-0.021038,-0.02068315,-0.01982149,-0.01281565
4/2/2017 6:00,0.025561224,-0.023229666,-0.02514565,-0.02495965,-0.02468049,-0.02426473,-0.02325419,-0.01503513
4/2/2017 7:00,0.033078231,-0.029862553,-0.03232416,-0.03208614,-0.03172824,-0.03119452,-0.02989558,-0.01932916
4/2/2017 8:00,0.016343537,-0.015057438,-0.01630011,-0.01617938,-0.01599814,-0.01572819,-0.01507229,-0.009744548
4/2/2017 9:00,0.026156463,-0.023726009,-0.02568326,-0.02549398,-0.02520918,-0.02478425,-0.02374991,-0.01535434
4/2/2017 10:00,0.015085034,-0.013940595,-0.01509241,-0.01498053,-0.01481241,-0.01456175,-0.01395217,-0.009019093
4/2/2017 11:00,0.020017007,-0.018304701,-0.01981745,-0.01967093,-0.0194503,-0.01912088,-0.01831892,-0.01184116
4/2/2017 12:00,0.016547619,-0.015246105,-0.01650752,-0.01638509,-0.01620074,-0.01592547,-0.01525587,-0.009860463
4/2/2017 13:00,0.014115646,-0.013113594,-0.01419965,-0.014094,-0.01393493,-0.01369745,-0.01312051,-0.008479865
4/2/2017 14:00,0.014608844,-0.01354259,-0.0146653,-0.01455594,-0.01439123,-0.01414532,-0.01354805,-0.008755521
